Timestamp,What type of technology-related skills are you interested in learning about? Check all that apply.,What social media platforms do you use? Check all that apply.,"Do you think you need to understand scripting, programming, and/or markup in order to be successful in the job you hope to get after graduation?",Do you feel comfortable defining the difference between scripting and programming?,What programming languages do you know?,What programming languages do you Want to know?,What scripting languages do you know?,What scripting languages do you Want to know?,What markup languages do you know?,What markup languages do you Want to know?,Have you taken/will you take technology-focused courses in your program?,"If yes, please list the courses you’ve taken.",What technology-related courses do you wish were offered?,Have you taken any free online technology courses? Check all that apply.,How do you approach new technology?
3/8/2019 6:10:36,"Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools","Facebook, Twitter, Tumblr, Instagram",Maybe,No,,,,Python,"HTML, xml",,Maybe,,"Scripting, data management/analysis",,"Read the manual, Take a workshop"
3/8/2019 7:10:51,"Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools, Web archiving, Web development/design","Facebook, Twitter, Tumblr, Instagram",Yes,Yes,"Python, PHP, Perl, JavaScript",,"Python, PHP, Perl, JavaScript (the programming/scripting ""difference"" seems pretty pointless and even snobbish in the context of this survey)",,"HTML, XHTML, XML",,Yes,"Programming, database management","Higher-level programming, etc. — everything on offer at my school is entry level. Also digital forensics — using tools such as BitCurator.",,"Read the manual, Play with it blindly, Try it out, try to solve a specific problem, visit forums and places such as Stack Overflow, Google around for blog posts, etc."
3/8/2019 8:06:38,"Command line, Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools, Web archiving","Twitter, Instagram",Yes,No,None,"I don't even know specifically! Something that would allow me to work with getting data into or out of a library catalog, or something that would let me batch edit finding aids. I guess Python? Is that a thing?",See previous question: I am not sure what the difference is between programming and scripting languages so I'm embarrassed to put something here that's one and not the other.,,"Uhh, HTML? and CSS? Not sure if this is markup or programming or whatever, though.",,No,,,,Play with it blindly
3/8/2019 8:07:32,"Command line, Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools, Web archiving","Twitter, Instagram",Yes,No,"None. School has introductory programming class that teaches Python to solve specific cultural heritage tech scenarios. So, some Python. VERY REMEDIAL.",More Python. I don't know enough about other languages to say. ,Is Python a script?,Javascript ,"XML, HTML, JSON",XSLT,Yes,Programming for Cultural Heritage,"A skills building survey of various code/scripting, that offers structured learning (my professor doesn't give a ton of feedback and most learning is independent, and the main focus is an independent project one comes up with), but that isn't online. It's really hard to learn something without face to face interaction, I don't know why.","Programming Historian, a lot of ""looking up"" how to do things on StackOverload. ",Google how to do specific things. Spend some time reading standards or rules. 
3/8/2019 8:41:19,"Command line, Scripting and/or programming, Data management (manipulating, querying, transforming data), Different operating systems (Mac OS, Linux, Windows), Digital forensics tools, Web development/design",Twitter,Maybe,No,,,,,,,Yes,"Creating Information Infrastructures, Database Design",,"Coursera, CodeAcademy, Lynda.com","Read the manual, Play with it blindly, Look for and walk through case studies and tutorials online; break whatever I'm trying to do with a new technology into steps and look for tutorials & examples related to each of those steps (i.e. Is this step even possible with X, how to do it, how else to use it, alternatives for accomplishing that step that don't involve X)"
3/8/2019 9:04:21,"Command line, Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools, Web archiving, Web development/design","Facebook, Instagram",Maybe,No,none,"java, C sharp",none,"JavaScript, Python",some basic xml,"XML, HTML",No,,I think more basic programming courses focusing on tech languages commonly used in archives/libraries would be very helpful,Lynda.com,I tend to find demo videos and then try to mimic what I'm shown.
3/8/2019 9:10:13,"Social media (managing an account, publishing, posting, etc.), Scripting and/or programming, Data management (manipulating, querying, transforming data), Digital forensics tools, Web archiving","Facebook, Instagram",Maybe,No,none,I would be interested in learning any but maybe Python would be the first one I would want to learn,none,,,,Yes," Understanding Information Technology for Managing Digital
Collections, Electronic Records Management, Digital Preservation",,,"Read the manual, Play with it blindly"
3/8/2019 9:12:33,"Social media (managing an account, publishing, posting, etc.), Data management (manipulating, querying, transforming data), Different operating systems (Mac OS, Linux, Windows), Digital forensics tools, Web archiving, Web development/design",Instagram,Maybe,No,,,,,,,Yes,"Databases, Systems and Infrastructure",Programming,,a mix of the two - reading instructions and trying out different tasks
3/8/2019 9:29:57,"Social media (managing an account, publishing, posting, etc.), Scripting and/or programming, Data management (manipulating, querying, transforming data), Different operating systems (Mac OS, Linux, Windows), Digital forensics tools, Web archiving, Web development/design","Facebook, Twitter, Tumblr, Instagram",Maybe,No,"Basic: html, mysql","JavaScript, better understanding of html, css, mysql",I don't know,I don't know... JavaScript?,Css,I don't know,Yes,Technology and archives ,I don't know,CodeAcademy,"Read the manual, Play with it blindly, Watch online tutorials"
3/8/2019 9:54:33,"Command line, Scripting and/or programming, Data management (manipulating, querying, transforming data), Web development/design",Facebook,Maybe,Maybe,"Python, PHP, C","JavaScript, Ruby",,,"HTML, XML",,Yes,,,,"Read the manual, Play with it blindly"
